81.9175 / Jun 16, 2023 11:15:00
81.9150 / Jun 16, 2023 11:16:00
81.9100 / Jun 16, 2023 11:17:00
81.9100 / Jun 16, 2023 11:18:00
81.9025 / Jun 16, 2023 11:19:00
81.9025 / Jun 16, 2023 11:20:00
81.9025 / Jun 16, 2023 11:21:00
81.9050 / Jun 16, 2023 11:22:00
81.9050 / Jun 16, 2023 11:23:00
81.9025 / Jun 16, 2023 11:24:00
81.9025 / Jun 16, 2023 11:25:00
81.9025 / Jun 16, 2023 11:26:00
81.8925 / Jun 16, 2023 11:27:00
81.9050 / Jun 16, 2023 11:28:00
81.8950 / Jun 16, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
81.8950 / Jun 16, 2023 11:30:00
