81.9875 / Jun 28, 2023 11:15:00
81.9950 / Jun 28, 2023 11:16:00
81.9950 / Jun 28, 2023 11:17:00
81.9950 / Jun 28, 2023 11:18:00
81.9950 / Jun 28, 2023 11:19:00
81.9950 / Jun 28, 2023 11:20:00
81.9925 / Jun 28, 2023 11:21:00
81.9925 / Jun 28, 2023 11:22:00
81.9925 / Jun 28, 2023 11:23:00
81.9925 / Jun 28, 2023 11:24:00
81.9925 / Jun 28, 2023 11:25:00
81.9925 / Jun 28, 2023 11:26:00
