83.1900 / Sep 27, 2023 11:15:00
83.1925 / Sep 27, 2023 11:16:00
83.1925 / Sep 27, 2023 11:17:00
83.2050 / Sep 27, 2023 11:18:00
83.2000 / Sep 27, 2023 11:19:00
83.2000 / Sep 27, 2023 11:20:00
83.2025 / Sep 27, 2023 11:21:00
83.2000 / Sep 27, 2023 11:22:00
83.2000 / Sep 27, 2023 11:23:00
83.2000 / Sep 27, 2023 11:24:00
83.2025 / Sep 27, 2023 11:25:00
83.2050 / Sep 27, 2023 11:26:00
83.2050 / Sep 27, 2023 11:27:00
83.2050 / Sep 27, 2023 11:28:00
83.2100 / Sep 27, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
83.2100 / Sep 27, 2023 11:30:00
83.2075 / Sep 27, 2023 11:31:00
