82.7450 / Dec 19, 2022 11:15:00
82.7500 / Dec 19, 2022 11:16:00
82.7500 / Dec 19, 2022 11:17:00
82.7500 / Dec 19, 2022 11:18:00
82.7500 / Dec 19, 2022 11:19:00
82.7500 / Dec 19, 2022 11:20:00
82.7500 / Dec 19, 2022 11:21:00
82.7500 / Dec 19, 2022 11:22:00
82.7500 / Dec 19, 2022 11:23:00
82.7525 / Dec 19, 2022 11:24:00
82.7425 / Dec 19, 2022 11:25:00
82.7425 / Dec 19, 2022 11:26:00
82.7275 / Dec 19, 2022 11:27:00
82.7275 / Dec 19, 2022 11:28:00
82.7400 / Dec 19, 2022 11:29:00
-------------------------------------------------------------------------------------------------------------
82.7400 / Dec 19, 2022 11:30:00
82.7225 / Dec 19, 2022 11:31:00
82.7225 / Dec 19, 2022 11:32:00
82.7150 / Dec 19, 2022 11:33:00
82.7200 / Dec 19, 2022 11:34:00
82.7150 / Dec 19, 2022 11:35:00
82.6875 / Dec 19, 2022 11:36:00
82.7000 / Dec 19, 2022 11:37:00
82.7100 / Dec 19, 2022 11:38:00
82.6950 / Dec 19, 2022 11:39:00
82.6950 / Dec 19, 2022 11:40:00
82.6850 / Dec 19, 2022 11:41:00
82.6700 / Dec 19, 2022 11:42:00
82.6800 / Dec 19, 2022 11:43:00
82.6800 / Dec 19, 2022 11:44:00
82.6700 / Dec 19, 2022 11:45:00
