82.7450 / May 30, 2023 11:14:00
82.7700 / May 30, 2023 11:15:00
82.7750 / May 30, 2023 11:16:00
82.7650 / May 30, 2023 11:17:00
82.7650 / May 30, 2023 11:18:00
82.7650 / May 30, 2023 11:19:00
82.7675 / May 30, 2023 11:20:00
82.7700 / May 30, 2023 11:21:00
82.7700 / May 30, 2023 11:22:00
82.7725 / May 30, 2023 11:23:00
82.7675 / May 30, 2023 11:24:00
82.7650 / May 30, 2023 11:25:00
82.7675 / May 30, 2023 11:26:00
82.7750 / May 30, 2023 11:27:00
82.7750 / May 30, 2023 11:28:00
82.7750 / May 30, 2023 11:29:00
