81.7425 / May 8, 2023 11:15:00
81.7400 / May 8, 2023 11:16:00
81.7475 / May 8, 2023 11:17:00
81.7550 / May 8, 2023 11:18:00
81.7575 / May 8, 2023 11:19:00
81.7600 / May 8, 2023 11:20:00
81.7675 / May 8, 2023 11:21:00
81.7700 / May 8, 2023 11:22:00
81.7700 / May 8, 2023 11:23:00
81.7675 / May 8, 2023 11:24:00
81.7725 / May 8, 2023 11:25:00
