81.8000 / Nov 28, 2022 09:06:00
81.8300 / Nov 28, 2022 09:07:00
81.8350 / Nov 28, 2022 09:08:00
81.8350 / Nov 28, 2022 09:09:00
81.8350 / Nov 28, 2022 09:10:00
81.8100 / Nov 28, 2022 09:11:00
81.8100 / Nov 28, 2022 09:12:00
81.8100 / Nov 28, 2022 09:13:00
81.8100 / Nov 28, 2022 09:14:00
81.7750 / Nov 28, 2022 09:15:00
81.7700 / Nov 28, 2022 09:16:00
81.7725 / Nov 28, 2022 09:17:00
