81.6025 / Nov 30, 2022 11:15:00
81.5900 / Nov 30, 2022 11:16:00
81.5950 / Nov 30, 2022 11:17:00
81.5950 / Nov 30, 2022 11:18:00
81.5950 / Nov 30, 2022 11:19:00
81.5825 / Nov 30, 2022 11:20:00
81.5825 / Nov 30, 2022 11:21:00
81.5850 / Nov 30, 2022 11:22:00
81.5900 / Nov 30, 2022 11:23:00
81.6000 / Nov 30, 2022 11:24:00
81.6000 / Nov 30, 2022 11:25:00
81.6100 / Nov 30, 2022 11:26:00
81.6175 / Nov 30, 2022 11:27:00
81.6300 / Nov 30, 2022 11:28:00
81.6375 / Nov 30, 2022 11:29:00
-------------------------------------------------------------------------------------------------------------
81.6325 / Nov 30, 2022 11:30:00
81.6350 / Nov 30, 2022 11:31:00
81.6300 / Nov 30, 2022 11:32:00
81.6350 / Nov 30, 2022 11:33:00
81.6325 / Nov 30, 2022 11:34:00
81.6375 / Nov 30, 2022 11:35:00
81.6300 / Nov 30, 2022 11:36:00
81.6275 / Nov 30, 2022 11:37:00
81.6225 / Nov 30, 2022 11:38:00
81.6100 / Nov 30, 2022 11:39:00
81.6100 / Nov 30, 2022 11:40:00
81.6100 / Nov 30, 2022 11:41:00
81.6100 / Nov 30, 2022 11:42:00
81.6100 / Nov 30, 2022 11:43:00
81.5950 / Nov 30, 2022 11:44:00
81.6000 / Nov 30, 2022 11:45:00
81.5950 / Nov 30, 2022 11:46:00
81.5850 / Nov 30, 2022 11:47:00
81.5900 / Nov 30, 2022 11:48:00
81.5900 / Nov 30, 2022 11:49:00
81.5950 / Nov 30, 2022 11:50:00
81.5950 / Nov 30, 2022 11:51:00
81.6000 / Nov 30, 2022 11:52:00
81.5900 / Nov 30, 2022 11:53:00
81.5900 / Nov 30, 2022 11:54:00
81.5900 / Nov 30, 2022 11:55:00
81.6050 / Nov 30, 2022 11:56:00
81.6050 / Nov 30, 2022 11:57:00
81.6100 / Nov 30, 2022 11:58:00
81.6175 / Nov 30, 2022 11:59:00
81.6175 / Nov 30, 2022 12:00:00
81.6150 / Nov 30, 2022 12:01:00
81.6150 / Nov 30, 2022 12:02:00
81.6150 / Nov 30, 2022 12:03:00
81.6150 / Nov 30, 2022 12:04:00
81.6075 / Nov 30, 2022 12:05:00
81.6100 / Nov 30, 2022 12:06:00
